,Price
867,6450.0
765,2190.0
2023,4300.0
3744,3100.0
1829,9870.0
1618,2250.0
117,3500.0
3813,2750.0
1229,4750.0
1269,4500.0
3457,2750.0
1727,6500.0
241,2900.0
2775,2900.0
1647,10250.0
2577,5950.0
2953,3750.0
894,3600.0
404,3900.0
952,3450.0
1496,5650.0
1546,2200.0
3114,9750.0
1936,4700.0
2525,4400.0
2950,4550.0
3188,5920.0
2150,3500.0
1412,3750.0
876,3850.0
916,2750.0
1617,5000.0
2167,2270.0
766,3550.0
2194,3250.0
1873,3410.0
2632,3490.0
1245,5450.0
974,7000.0
869,1550.0
708,4700.0
3846,3600.0
284,2100.0
454,6210.0
2719,3880.0
466,2130.0
1960,6500.0
135,6000.0
2110,3600.0
52,13500.0
3271,1990.0
756,3870.0
1497,8109.999999999999
2399,7850.0
3776,3990.0
752,3250.0
2851,6900.0
787,3750.0
3635,7250.0
3326,4630.0
3026,8200.0
3135,4050.0
4000,7500.0
3803,19500.0
99,17230.0
987,10150.0
3509,11920.0
1964,6000.0
1551,5000.0
2921,6000.0
115,5910.0
462,6140.0
1868,5990.0
327,6280.0
1030,8250.0
320,3270.0
3187,11770.0
3615,2600.0
2190,5640.0
3538,1800.0
229,2200.0
532,2800.0
769,4870.0
264,10900.0
1578,2450.0
1911,5000.0
3854,2850.0
373,2300.0
132,5990.0
70,5860.0
3360,4450.0
3835,3450.0
1839,8500.0
1971,1280.0
2243,11000.0
2624,2300.0
2,3100.0
1761,16500.0
775,2700.0
2792,16950.0
923,7770.0
757,750.0
1394,16500.0
91,5800.0
2689,6950.0
2545,2400.0
1093,5500.0
872,7750.0
2007,3600.0
3974,5200.0
386,7250.0
3745,3500.0
3398,19600.0
4001,3240.0
3708,5750.0
2384,4500.0
195,5110.0
3815,4730.0
2317,11500.0
4011,3600.0
1140,6930.0
2584,6250.0
1014,6990.0
76,13950.0
2832,11150.0
193,4650.0
2210,1460.0
518,8600.0
707,3290.0
2176,10000.0
2516,8010.0
3705,5950.0
3362,19460.0
1816,7290.0
269,4350.0
1159,4650.0
3569,2600.0
2155,2850.0
3843,4450.0
2788,3950.0
3327,8250.0
3782,13500.0
1012,3970.0
1906,2450.0
546,4450.0
861,11950.0
2116,4990.0
3878,5340.0
2447,3650.0
1048,13500.0
1261,9950.0
2340,4600.0
737,11500.0
106,7750.0
2163,5200.0
1817,2000.0
3316,4150.0
1760,14290.0
2219,1700.0
1744,4600.0
3795,6000.0
3876,3210.0
1615,2800.0
119,4250.0
1600,9000.0
2335,2150.0
3373,5750.0
1606,6250.0
3587,6250.0
4002,3500.0
5,7000.0
1173,5250.0
3301,14300.0
3903,3250.0
2649,4350.0
84,4250.0
3029,5450.0
3193,2300.0
2541,5290.0
259,1950.0
3653,3680.0
2660,7360.0
1568,8650.0
2622,7110.0
3300,3600.0
1003,7750.0
698,3900.0
2864,15000.0
3104,5950.0
1293,2650.0
1750,5500.0
2769,6750.0
3344,7170.0
2135,14280.0
2579,4500.0
1395,5500.0
4014,4500.0
1495,3450.0
449,3950.0
1741,2990.0
4005,1460.0
1777,2000.0
470,4400.0
1526,12000.0
2033,7500.0
571,7580.0
2397,7650.0
12,7510.0
3539,6220.0
2346,3850.0
1178,7260.0
3102,14450.0
2613,3320.0
3723,7110.0
3541,4250.0
2665,7950.0
3143,6990.0
597,4060.0
2721,2500.0
1364,9950.0
3066,4950.0
1811,2650.0
2814,5470.0
3111,12600.0
411,12500.0
3819,5550.0
2646,5600.0
3276,2650.0
1522,4750.0
1385,6410.0
3510,8870.0
237,5900.0
2064,8260.0
2196,5800.0
1197,4920.0
1756,4500.0
20,6500.0
939,2950.0
2670,4000.0
1058,3320.0
1360,4750.0
1427,3760.0
4008,10950.0
3497,5900.0
3622,2900.0
3013,5500.0
2031,7900.0
1943,2490.0
963,5500.0
1420,5700.0
610,7990.0
421,5800.0
3630,2500.0
29,900.0
3328,5500.0
802,6200.0
2679,4500.0
186,15200.0
1227,4890.0
3005,15460.0
1480,7500.0
2754,2100.0
2602,4000.0
608,1750.0
2078,3100.0
995,4850.0
3494,8850.0
2487,4550.0
3461,4250.0
3175,1650.0
2320,5000.0
460,3750.0
2296,17500.0
2653,8450.0
298,5850.0
539,10450.0
1307,4750.0
950,13120.0
3783,6160.0
2027,12650.0
2684,11000.0
3947,4000.0
3191,4650.0
570,2400.0
3472,5250.0
2979,5500.0
1968,6850.0
2339,4950.0
779,4750.0
307,10800.0
986,4350.0
3256,5700.0
1677,5850.0
3625,6000.0
2848,5680.0
114,14200.0
1633,13500.0
2293,3850.0
2131,3650.0
703,9950.0
2461,4040.0
2621,5990.0
1586,13770.0
3751,2890.0
1501,9190.0
2835,6300.0
1933,5570.0
2718,3260.0
2409,7800.0
151,12990.0
763,2250.0
1367,2950.0
892,1650.0
2223,3000.0
3003,9480.0
1096,4280.0
318,5000.0
1736,3700.0
3322,8070.0
693,6140.0
1445,6750.0
2005,3500.0
2730,7000.0
3892,2190.0
691,5550.0
1409,3850.0
829,3750.0
3054,16250.0
313,4600.0
2109,1800.0
33,5670.0
2707,17000.0
3085,2600.0
413,4750.0
1566,11250.0
375,3500.0
2722,4000.0
3134,5000.0
2651,11000.0
2073,7500.0
716,12750.0
1369,4600.0
1607,9500.0
1078,11500.0
2519,4350.0
2275,4790.0
548,7660.0
1802,8480.0
3657,7200.0
3589,3960.0
1036,19000.0
1130,7350.0
516,6300.0
2941,4910.0
2609,4450.0
351,3700.0
3925,16500.0
2926,7500.0
